100,100,100,100,100,100,100,100,100,100,100
80,96.1947257734,110.3713380109,122.4465255124,128.0010555855,129.1934892875,126.7308354352,119.1192847649,104.0769344359,92.2408286778,80
60,94.4075650825,122.8441007579,151.4137084531,160.364207542,162.0420661295,158.6105676883,145.6693691886,104.9476243011,84.8863802751,60
40,98.5914337989,135.1837914851,200,200,200,200,200,131.1155967623,100.8794443378,40
20,115.2319303288,154.7272295213,200,200,200,200,200,133.0793217823,85.1578133047,20
0,82.3570681216,124.7743786279,200,200,200,200,200,119.2996313837,72.1692342583,0
0,72.037973047,124.1584256643,200,200,200,200,200,145.0664200681,101.490104636,0
0,82.6043071353,119.7675135835,200,200,200,200,200,118.1490125911,69.8454997915,0
0,38.261708887,63.1140221859,109.3637992813,124.0483461152,127.8146766935,125.4919016532,114.108679077,77.976171945,41.9333551911,0
0,17.7635791039,32.7926075284,50.292828824,59.0149084862,61.7184590054,60.0442508421,52.96664271,37.7136409207,19.911749028,0
0,0,0,0,0,0,0,0,0,0,0
